author,coin,danmaku,favorite,id,like,rank_num,rank_tab,reply,score,share,tag_name,title,view
好名字可让朋友记住你,418,3712,2937,87533356,15503,99,娱乐,1589,524309,665,"综艺,华晨宇,韩红,弹唱,和弦",只会4536251？华晨宇当众考核。韩红:别骗人了，音乐需要真诚,767658
努力的小冯同学,4317,992,10857,86340050,15619,98,娱乐,1358,524911,10036,"综艺,徐晔,医生,爱豆安利挑战,可爱,帅哥,千层套路",【中国医生】徐晔医生————千层套路,376852
霍顿,19773,15830,8034,88555998,83317,100,影视,1839,711968,4915,"盘点排行,童年回忆杀,互动视频,搞笑,爱情公寓,测试,童年,沙雕,张伟,盘点",十道题让你怀疑你从没看过《爱情公寓》！,899907
入了夜_,101877,11942,193344,69706717,155874,99,影视,5202,715387,77921,"李栋旭,祖宗cp,他人即地狱,任时完,徐文祖,斯文败类,病娇,踩点",【他人即地狱】“亲爱的，你今天很生气啊”| 病娇医生强制爱 | 舒爽踩点【李栋旭×任时完】,2551183
艾黎ike,16757,385,23416,83798607,20326,98,影视,610,719940,1115,"短片,高质量视觉短片,全能打卡挑战,哲学,励志,人生",生命意义上的倒计时法“向死而生” - 高质量视觉短片混剪（五）,208863
吉布斯焓,7181,1253,12323,86189468,35484,97,影视,980,721178,14921,"全能打卡挑战,影视剪辑,搞笑,直男,反转,电视剧,MAD,撩妹,凭实力单身,名场面",影视剧中的钢铁直男名场面,815517
绿木竹,8517,2735,5871,84571943,83691,96,影视,632,735492,509,"爱情公寓,大力,诸葛大力,爱情公寓5,犬来八荒,成果",你想象的婚后生活VS现实中的婚后生活【如果诸葛大力是你的老婆】,1286656
1350亿光年,27251,1430,21700,87343575,34875,95,影视,1748,743535,3107,"旅游,短片,航拍,bilibili新星计划,学生作品,风光,旅行",学生党能拍出什么样的作品？你都不敢相信这是真的。 年度航拍大片《路》使用御2 大疆 Mavic 2 pro,258763
酒神杯子,35806,3079,139062,70844339,103789,94,影视,819,745384,6458,"安妮海瑟薇,欧美群像,阿佳妮,凯特布兰切特,加冕,塞隆",【混剪/Queen】全员女王丨你应该看到我头戴王冠的样子,1893077
电影最TOP,21570,12674,7828,84551927,29257,93,影视,1680,746715,2944,"影评,寄生虫,电影解说,影评杂谈,好莱坞往事",电影最TOP 144: 2019年度十大“未引进”佳片盘点,866180
逃课的学委,21960,1904,76149,76176674,77738,92,影视,1064,751742,5653,"影视剪影,经典,剪辑,影视剪辑,爱丽丝梦游仙境,白皇后,踩点",【白皇后.踩点混剪】超清版本建议收藏！,860461
涂山恋风,5390,639,16589,86655209,10950,91,影视,607,755916,1315,"影视混剪,伊娃格林,电影剪辑,女神,混剪,低俗怪谈,影视剪影,裂缝,007,黑暗阴影,绿娃,影像流年",【Plus·8】伊娃·格林 | 颜值巅峰期剪辑,515168
呆萌憨憨牛,22217,3162,19469,85857877,32372,90,影视,811,756243,1460,"爱情公寓5,胡一菲,陈赫,曾小贤,吕子乔,影视剪辑,青春,诸葛大力,成果,催泪",耗时520分钟催泪剪辑爱情公寓1—5，只为献给陪伴我们十年青春的爱情公寓，时光不老，青春不散，让我们记住他们记住爱情公寓,344420
-芊芊姑娘-,9716,3167,14331,85146004,55289,89,影视,924,757595,7160,"影视鉴评挑战,影视剪影,影视剪辑,三国演义,高能,电视剧,读书,电视剧剪辑,少年派,搞笑",一个视频告诉你读书和不读书的差别！太真实了！,689839
李沁我老婆鸭,2419,2947,22645,81317133,14491,88,影视,416,757897,1986,"任嘉伦,锦衣之下,谭松韵,古装,花絮,搞笑",锦衣之下 一下夫妇 爆笑花絮合集（持更中~）,867311
没头脑鹅,29515,1652,22739,87483535,30213,87,影视,1354,759269,7527,"陈建斌,bilibili新星计划,经典,古装,燃,虐心",【四郎传/燃向/虐向】陈建斌演技大赏 Eutopia,241064
雨燕清欢,5719,2771,7979,86217867,43478,86,影视,668,763204,907,"诸葛大力,爱情公寓5,全能打卡挑战,成果,狗哥,古装,爱情公寓,可爱,大力",我承认，我就是馋她的身子！【诸葛大力×成果】,1290861
